pair,features,fold,metric,value
PA-HA,site codon,1,f1,0.8491379310344828
PA-HA,site codon,1,f1_macro,0.8338953903877078
PA-HA,site codon,1,precision,0.7833001988071571
PA-HA,site codon,1,recall,0.9270588235294117
PA-HA,site codon,1,auc_roc,0.9184359861591694
PA-HA,site codon,2,f1,0.8546448087431694
PA-HA,site codon,2,f1_macro,0.8421751572525066
PA-HA,site codon,2,precision,0.7963340122199593
PA-HA,site codon,2,recall,0.9221698113207547
PA-HA,site codon,2,auc_roc,0.9289282217871129
PA-HA,site codon,3,f1,0.8498896247240618
PA-HA,site codon,3,f1_macro,0.8388688629949423
PA-HA,site codon,3,precision,0.7987551867219918
PA-HA,site codon,3,recall,0.9080188679245284
PA-HA,site codon,3,auc_roc,0.9108668565325738
PA-HA,site aa,0,f1,0.49821215733015495
PA-HA,site aa,0,f1_macro,0.504622919547772
PA-HA,site aa,0,precision,0.5048309178743962
PA-HA,site aa,0,recall,0.49176470588235294
PA-HA,site aa,0,auc_roc,0.5110837370242215
PA-HA,site aa,1,f1,0.6196891191709845
PA-HA,site aa,1,f1_macro,0.560184695639914
PA-HA,site aa,1,precision,0.5537037037037037
PA-HA,site aa,1,recall,0.7035294117647058
PA-HA,site aa,1,auc_roc,0.6072719723183391
PA-HA,site aa,2,f1,0.5944206008583691
PA-HA,site aa,2,f1_macro,0.5498281014763049
PA-HA,site aa,2,precision,0.5452755905511811
PA-HA,site aa,2,recall,0.6533018867924528
PA-HA,site aa,2,auc_roc,0.5598272294410822
PA-HA,site aa,3,f1,0.6135458167330677
PA-HA,site aa,3,f1_macro,0.5264260875572853
PA-HA,site aa,3,precision,0.5310344827586206
PA-HA,site aa,3,recall,0.7264150943396226
PA-HA,site aa,3,auc_roc,0.558311454254183
